sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
female,71,0.028339197,0.048283876,0.252530151,0.085839412,0.021463151,0.009217193,0.003394632,0.000583902,0.003056324,0.000960341,0.007357832
female,72,0.0306,0.052735,0.26,0.0885,0.0229,0.0096,0.0036,0.0006,0.0032,0.001,0.0075491
female,73,0.033025817,0.057456879,0.267200167,0.091111536,0.024369861,0.009975716,0.00382958,0.000606539,0.003347874,0.001029674,0.007738493
female,74,0.035628315,0.06244525,0.273984241,0.09367053,0.025859889,0.010348572,0.004083896,0.000605969,0.003496402,0.001051189,0.00792492
female,75,0.038417903,0.067695371,0.280188231,0.096173756,0.027354987,0.010723569,0.004363424,0.000602129,0.003640994,0.001067868,0.008107201
female,76,0.041404995,0.073202501,0.285648148,0.098617988,0.028840057,0.011105711,0.004668634,0.00059886,0.003777057,0.00108303,0.008284155
female,77,0.0446,0.0789619,0.2902,0.101,0.0303,0.0115,0.005,0.0006,0.0039,0.0011,0.0084546
female,78,0.048010466,0.084954685,0.293702208,0.103316054,0.031721364,0.011910409,0.005357469,0.00060854,0.004006373,0.001121072,0.008617308
female,79,0.051632478,0.091105407,0.296102837,0.105560372,0.033097275,0.012336791,0.005738886,0.00062407,0.004097297,0.001144441,0.008770854
female,80,0.055459257,0.097324477,0.297372362,0.107726662,0.034422504,0.012777968,0.006141568,0.00064533,0.004175035,0.001167273,0.008913766
female,81,0.059484024,0.103522305,0.297481258,0.109808635,0.035691822,0.013232764,0.006562833,0.00067106,0.004241848,0.001186737,0.009044572
female,82,0.0637,0.1096093,0.2964,0.1118,0.0369,0.0137,0.007,0.0007,0.0043,0.0012,0.0091618
female,83,0.068090719,0.115506063,0.294107799,0.113701046,0.038045484,0.014181047,0.007450943,0.0007305,0.004351433,0.001205236,0.009264265
female,84,0.072600973,0.121173954,0.29061881,0.115538382,0.039141412,0.014687464,0.007915761,0.00075935,0.004396809,0.001204647,0.009351933
female,85,0.077165867,0.126584523,0.28595592,0.117345194,0.040204599,0.015233357,0.008395106,0.00078295,0.004436468,0.00120144,0.009425059
female,86,0.081720507,0.131709322,0.280142021,0.119154671,0.041251857,0.015832834,0.008889635,0.0007977,0.004470751,0.001198821,0.009483897
female,87,0.0862,0.1365199,0.2732,0.121,0.0423,0.0165,0.0094,0.0008,0.0045,0.0012,0.0095287
female,88,0.090543459,0.141001236,0.265182594,0.12289896,0.043358302,0.017240604,0.009925958,0.00078786,0.004524694,0.001206782,0.0095599
female,89,0.094706031,0.145192017,0.256261923,0.124807701,0.044405877,0.018026954,0.010463672,0.000765729,0.004545867,0.001215371,0.009578634
female,90,0.098646875,0.149144361,0.246639956,0.12666696,0.045414302,0.018823004,0.011008407,0.000739669,0.004564694,0.001220569,0.009586219
female,91,0.102325146,0.152910384,0.236518659,0.12841748,0.046355151,0.019592702,0.011555428,0.000715739,0.004582347,0.001217178,0.009583969
female,92,0.1057,0.1565422,0.2261,0.13,0.0472,0.0203,0.0121,0.0007,0.0046,0.0012,0.0095732
female,93,0.108749047,0.160085231,0.215586625,0.131372712,0.047929309,0.020918139,0.012638825,0.000696462,0.004618592,0.001166035,0.009555146
female,94,0.111523702,0.163558115,0.205183896,0.132563616,0.048559079,0.021457519,0.013174351,0.000700933,0.004638123,0.001121069,0.009530713
female,95,0.114093834,0.166972793,0.195097855,0.133618164,0.049114194,0.021937829,0.013710466,0.000707174,0.004658357,0.001073086,0.009500727
female,96,0.11652931,0.170341207,0.185534543,0.134581808,0.04961954,0.022378759,0.014251053,0.000708943,0.004679061,0.001030068,0.009466015
female,97,0.1189,0.1736753,0.1767,0.1355,0.0501,0.0228,0.0148,0.0007,0.0047,0.001,0.0094274
female,98,0.121263844,0.176986266,0.168713994,0.1355,0.0501,0.0228,0.0148,0.0007,0.0047,0.001,0.009385742
female,99,0.123631075,0.180282313,0.161351195,0.1355,0.0501,0.0228,0.0148,0.0007,0.0047,0.001,0.009342034
female,100,0.126,0.1835709,0.1543,0.1355,0.0501,0.0228,0.0148,0.0007,0.0047,0.001,0.0092973
